,0
2095,1
2096,1
2097,7
2098,5
2099,5
2100,5
2101,7
2102,5
2103,5
2104,1
2105,7
2106,3
2107,10
2108,5
2109,1
2110,5
2111,3
2112,1
2113,7
2114,3
2115,1
2116,7
2117,1
2118,1
2119,1
2120,7
2121,5
2122,1
2123,1
2124,7
2125,3
2126,1
2127,5
2128,5
2129,3
2130,5
2131,1
2132,5
2133,1
2134,5
2135,3
2136,5
2137,5
2138,7
2139,5
2140,1
2141,1
2142,1
2143,1
2144,3
2145,3
2146,5
2147,5
2148,5
2149,7
2150,1
2151,1
2152,1
2153,5
2154,5
2155,1
2156,5
2157,1
2158,5
2159,7
2160,3
2161,1
2162,5
2163,5
2164,3
2165,1
2166,10
2167,3
2168,7
2169,5
2170,7
2171,5
2172,5
2173,3
2174,1
2175,3
2176,5
2177,5
2178,7
2179,7
2180,1
2181,1
2182,5
2183,7
2184,3
2185,1
2186,3
2187,5
2188,5
2189,5
2190,5
2191,1
2192,5
2193,7
2194,7
2195,7
2196,7
2197,5
2198,1
2199,1
2200,3
2201,5
2202,5
2203,7
2204,7
2205,5
2206,5
2207,7
2208,5
2209,7
2210,1
2211,5
2212,1
2213,1
2214,5
2215,7
2216,5
2217,5
2218,3
2219,1
2220,3
2221,7
2222,3
2223,7
2224,1
2225,7
2226,3
2227,1
2228,5
2229,7
2230,5
2231,1
2232,5
2233,1
2234,5
2235,7
2236,5
2237,7
2238,1
2239,7
2240,5
2241,5
2242,7
2243,7
2244,5
2245,7
2246,3
2247,5
2248,3
2249,1
2250,5
2251,1
2252,1
2253,5
2254,3
2255,5
2256,1
2257,7
2258,5
2259,7
2260,5
2261,1
2262,7
2263,1
2264,1
2265,7
2266,1
2267,1
2268,7
2269,3
2270,1
2271,3
2272,5
2273,1
2274,5
2275,1
2276,7
2277,5
2278,7
2279,1
2280,7
2281,3
2282,7
2283,1
2284,5
2285,5
2286,5
2287,1
2288,5
2289,5
2290,1
2291,5
2292,5
2293,7
2294,7
